Movie(title=Inception, description=Dream heist, suitability=true, releaseYear=2010, actors=Leonardo DiCaprio, Joseph Gordon-Levitt, duration=148, genre=Sci-Fi, relatedMovies=null)
Movie(title=The Shawshank Redemption, description=Prison drama, suitability=true, releaseYear=1994, actors=Tim Robbins, Morgan Freeman, duration=142, genre=Drama, relatedMovies=null)
Movie(title=The Godfather, description=Mafia epic, suitability=true, releaseYear=1972, actors=Marlon Brando, Al Pacino, duration=175, genre=Crime, relatedMovies=null)
Movie(title=The Dark Knight, description=Superhero action, suitability=true, releaseYear=2008, actors=Christian Bale, Heath Ledger, duration=152, genre=Action, relatedMovies=null)
Movie(title=Pulp Fiction, description=Quirky crime, suitability=false, releaseYear=1880, actors=[Leo, Kostas], duration=154, genre=Crime, relatedMovies=[The Lord of the Rings, The Departed])
Movie(title=Forrest Gump, description=Life's journey, suitability=true, releaseYear=1994, actors=Tom Hanks, Robin Wright, duration=142, genre=Drama, relatedMovies=null)
Movie(title=Titanic, description=Romantic drama, suitability=true, releaseYear=1997, actors=[Leonardo DiCaprio], Kate Winslet, duration=195, genre=Romance, relatedMovies=null)
Movie(title=The Matrix, description=Virtual reality, suitability=true, releaseYear=1999, actors=Keanu Reeves, Laurence Fishburne, duration=136, genre=Sci-Fi, relatedMovies=null)
Movie(title=The Lord of the Rings: The Fellowship of the Ring, description=Epic fantasy, suitability=true, releaseYear=2001, actors=Elijah Wood, Ian McKellen, duration=178, genre=Fantasy, relatedMovies=null)
Movie(title=Fight Club, description=Psychological thriller, suitability=true, releaseYear=1999, actors=Brad Pitt, Edward Norton, duration=139, genre=Drama, relatedMovies=null)
Movie(title=The Silence of the Lambs, description=Psychological horror, suitability=true, releaseYear=1991, actors=Jodie Foster, Anthony Hopkins, duration=118, genre=Thriller, relatedMovies=null)
Movie(title=Schindler's List, description=Historical drama, suitability=true, releaseYear=1993, actors=Liam Neeson, Ben Kingsley, duration=195, genre=Drama, relatedMovies=null)
Movie(title=The Lion King, description=Animated musical, suitability=true, releaseYear=1994, actors=Matthew Broderick, Jeremy Irons, duration=88, genre=Animation, relatedMovies=null)
Movie(title=Gladiator, description=Historical epic, suitability=true, releaseYear=2000, actors=Russell Crowe, Joaquin Phoenix, duration=155, genre=Action, relatedMovies=null)
Movie(title=The Departed, description=Crime thriller, suitability=true, releaseYear=2006, actors=Leonardo DiCaprio, Jack Nicholson, duration=151, genre=Crime, relatedMovies=null)
Movie(title=Avatar, description=Science fiction, suitability=true, releaseYear=2009, actors=Sam Worthington, Zoe Saldana, duration=162, genre=Sci-Fi, relatedMovies=null)
Movie(title=Jurassic Park, description=Dinosaur adventure, suitability=true, releaseYear=1993, actors=Sam Neill, Laura Dern, duration=127, genre=Adventure, relatedMovies=null)
Movie(title=Inglorious Bastards, description=War drama, suitability=true, releaseYear=2009, actors=Brad Pitt, Christoph Waltz, duration=153, genre=War, relatedMovies=null)
Movie(title=The Social Network, description=Biographical drama, suitability=true, releaseYear=2010, actors=Jesse Eisenberg, Andrew Garfield, duration=120, genre=Drama, relatedMovies=null)
Movie(title=The Shining, description=Horror, suitability=true, releaseYear=1980, actors=Jack Nicholson, Shelley Duvall, duration=146, genre=Horror, relatedMovies=null)

